bird_id;name;sex;generation;hatching_date;raising_type;status;parent_f;parent_f_id;parent_m;parent_m_id;population;breeding_area;missed_since;delivered_or_death_date;mortality_cause;mortality_verified
121;Panzerotto;f;F0;2016-04-01;foster parent;dead;Sid;n.a.;Rookie;n.a.;wild population;allocation;2017-07-01;2017-09-01;unknown;unverified
122;Artu;f;F0;2016-04-02;foster parent;dead;Sid;n.a.;Rookie;n.a.;wild population;allocation;;2016-08-06;predation;verified
123;Cannella;m;F0;2016-04-03;foster parent;dead;Pebbles;n.a.;Benu;n.a.;wild population;allocation;2017-07-15;2017-09-15;unknown;unverified
124;Orfeo;m;F0;2016-04-03;foster parent;dead;Twister;n.a.;Lexi;n.a.;wild population;allocation;;2018-10-26;unknown;verified
125;Circe;f;F0;2016-04-04;foster parent;dead;Camillo 1;99013;Mundel;n.a.;wild population;allocation;2016-09-28;2016-11-28;unknown;unverified
126;Ipazia;m;F0;2016-04-04;foster parent;dead;Baluh;n.a.;Diesel;n.a.;wild population;allocation;;2019-11-26;electrocution;verified
127;Cenerella;m;F0;2016-04-05;foster parent;dead;Baluh;n.a.;Diesel;n.a.;wild population;allocation;;2018-10-13;injury/illness;verified
129;Dusti;m;F0;2016-04-05;foster parent;dead;Twister;n.a.;Lexi;n.a.;wild population;allocation;;2019-01-07;shot;verified
130;Altea;f;F0;2016-04-05;foster parent;dead;Nemo;n.a.;Olli;n.a.;wild population;allocation;;2019-07-15;electrocution;verified
131;Bolti;m;F0;2016-04-06;foster parent;dead;Twister ;n.a.;Lexi;n.a.;wild population;allocation;;2016-11-09;unknown;verified
132;Apollo;f;F0;2016-04-07;foster parent;dead;Meldos;n.a.;Baerli;n.a.;wild population;allocation;;2016-12-03;unknown;verified
133;Cassandra;f;F0;2016-04-09;foster parent;alive;Twister;n.a.;Lexi;n.a.;wild population;allocation;;;;
134;Smeik;m;F0;2016-04-09;foster parent;dead;Gimli;n.a.;Nala;n.a.;wild population;allocation;;2018-07-23;electrocution;verified
135;Kuzko;f;F0;2016-04-09;foster parent;dead;Raki;n.a.;Tamri;99011;wild population;allocation;;2018-05-03;electrocution;verified
136;Poncho;f;F0;2016-04-10;foster parent;alive;Meldos;n.a.;Baerli;n.a.;wild population;allocation;2019-12-16;;;
137;Salvatore;m;F0;2016-04-10;foster parent;alive;Nemo;n.a.;Olli;n.a.;wild population;allocation;;;;
138;Ciro;f;F0;2016-04-10;foster parent;dead;Pela;n.a.;Nero 1;n.a.;wild population;allocation;;2017-08-11;electrocution;verified
139;Gennaro;m;F0;2016-04-11;foster parent;alive;Pela;n.a.;Nero 1;n.a.;wild population;allocation;;;;
140;Imperatore;f;F0;2016-04-11;foster parent;dead;Raki;n.a.;Tamri;99011;wild population;allocation;;2016-10-17;unknown;verified
141;Rumo;f;F0;2016-04-11;foster parent;dead;Gimli;n.a.;Nala;n.a.;wild population;allocation;;2018-03-25;unknown;verified
142;Chewbacca;f;F0;2016-04-11;foster parent;dead;Ria;n.a.;Flipp;99014;wild population;allocation;;2017-06-14;electrocution;verified
143;Jojo;m;F0;2016-04-11;foster parent;alive;Aleppo;n.a.;Othello;n.a.;wild population;Burghausen;;;;
144;Dali;f;F0;2016-04-12;foster parent;temporary;Alibaba;99012;Schurli;99010;wild population;allocation;;;;
146;Hanky;m;F0;2016-04-12;foster parent;dead;Ria;n.a.;Flipp;99014;wild population;allocation;;2016-12-06;unknown;verified
147;Santora;m;F0;2016-04-13;foster parent;dead;Pela;n.a.;Nero 1;n.a.;wild population;allocation;;2017-09-27;shot;verified
148;Silber;m;F0;2016-04-13;foster parent;dead;Soho;n.a.;Muck;99018;wild population;allocation;2017-07-12;2017-09-12;unknown;unverified
149;Charlie;f;F0;2016-04-17;foster parent;alive;Shannara;n.a.;Schreckse;n.a.;wild population;Kuchl;;;;
150;Enno;m;F1;2016-05-10;parent;dead;Jack;2;Ayla;4;wild population;Burghausen;;2016-11-03;shot;verified
151;Triti;f;F1;2016-05-16;parent;dead;Jack;2;Ayla;4;wild population;Burghausen;;2016-08-04;predation;verified
152;Heinz;m;F1;2016-05-16;parent;dead;Amore;13;Jazu;20;wild population;Burghausen;;2016-07-26;electrocution;unverified
153;Quacks;m;F1;2016-05-18;parent;dead;Amore;13;Jazu;20;wild population;Burghausen;;2016-09-28;injury/illness;verified
154;Lupo;f;F1;2016-05-19;parent;dead;Amore;13;Jazu;20;wild population;Burghausen;2016-08-03;2016-10-03;unknown;unverified
155;Eragon;f;F1;2016-05-21;parent;dead;Amore;13;Jazu;20;wild population;Burghausen;;2016-12-20;injury/illness;verified
156;Thor;f;F1;2016-05-08;parent;dead;Zeudi;25;Saba;22;wild population;Kuchl;;2017-04-20;shot;verified
157;Odin;f;F1;2016-05-13;parent;dead;Zeudi;25;Saba;22;wild population;Kuchl;2016-07-26;2016-09-26;unknown;unverified
158;Freya;m;F1;2016-05-14;parent;dead;Zeudi;25;Saba;22;wild population;Kuchl;;2016-12-10;predation;unverified
159;Pax;m;F1;2016-05-29;parent;dead;Salem;17;Semir;24;wild population;Kuchl;;2017-04-29;electrocution;verified
160;Fides;m;F1;2016-05-31;parent;dead;Salem;17;Semir;24;wild population;Kuchl;;2016-09-05;electrocution;verified
161;Gea;f;F1;2016-06-02;parent;dead;Salem;17;Semir;24;wild population;Kuchl;;2016-09-05;electrocution;verified
162;Cronos;f;F1;2016-05-31;parent;dead;Frodo;12;Tara;15;wild population;Kuchl;;2016-11-11;unknown;verified
163;Einstein;f;F0;2017-04-02;foster parent;delivered;Phoenix;n.a.;Tamri;99011;wild population;Ueberlingen;;2018-05-16;;
164;Zoppo;m;F0;2017-04-04;foster parent;alive;Sid;n.a.;Rookie;n.a.;wild population;Ueberlingen;;;;
165;Eduardo;f;F0;2017-04-04;foster parent;alive;Don;n.a.;Agadir;n.a.;wild population;Ueberlingen;;;;
166;Flux;f;F0;2017-04-04;foster parent;dead;Pebbles;n.a.;Benu;n.a.;wild population;Ueberlingen;;2017-12-16;unknown;verified
167;Doc Brown;f;F0;2017-04-05;foster parent;dead;Pebbles;n.a.;Benu;n.a.;wild population;Ueberlingen;;2018-06-22;injury/illness;verified
168;Aldo;f;F0;2017-04-05;foster parent;dead;Meldos;n.a.;Baerli;n.a.;wild population;Ueberlingen;;2018-02-03;unknown;verified
169;Allegra ;m;F0;2017-04-05;foster parent;dead;Raki;n.a.;Nero 1;n.a.;wild population;Ueberlingen;2017-10-07;2017-12-07;unknown;unverified
170;Corleone;f;F0;2017-04-06;foster parent;dead;Camillo 1;99013;Nala;n.a.;wild population;Ueberlingen;;2019-06-30;electrocution;verified
171;Peluki;f;F0;2017-04-06;foster parent;dead;Baluh;n.a.;Diesel;n.a.;wild population;Ueberlingen;2017-10-11;2017-12-11;unknown;unverified
172;Urmel;m;F0;2017-04-06;foster parent;alive;Baluh;n.a.;Diesel;n.a.;wild population;Ueberlingen;;;;
173;Kopernikus;m;F0;2017-04-06;foster parent;dead;Nemo;n.a.;Mundel;n.a.;wild population;Ueberlingen;;2017-11-30;predation;verified
174;Marty Mc Fly;m;F0;2017-04-07;foster parent;dead;Pebbles;n.a.;Benu;n.a.;wild population;Ueberlingen;;2018-08-06;electrocution;verified
175;Giuliano;m;F0;2017-04-07;foster parent;dead;Meldos;n.a.;Baerli;n.a.;wild population;Ueberlingen;;2018-07-16;unknown;verified
176;Flaps;f;F0;2017-04-07;foster parent;dead;Baluh;n.a.;Diesel;n.a.;wild population;Ueberlingen;;2018-10-19;shot;unverified
177;Jakopo;m;F0;2017-04-07;foster parent;dead;Nemo;n.a.;Mundel;n.a.;wild population;Ueberlingen;2018-02-03;2018-04-03;unknown;unverified
178;Sonic;f;F0;2017-04-09;foster parent;alive;Pela;n.a.;Ollie;n.a.;wild population;Ueberlingen;;;;
180;Wookiee;m;F0;2017-04-10;foster parent;dead;Soho;n.a.;Muck;99018;wild population;Ueberlingen;;2019-06-03;unknown;unverified
181;Rafiki;f;F0;2017-04-10;foster parent;dead;Kleopatra;n.a.;Ozzy;n.a.;wild population;Ueberlingen;;2018-03-30;unknown;verified
182;Giorgia;f;F0;2017-04-11;foster parent;alive;Nemo;n.a.;Mundel;n.a.;wild population;Ueberlingen;;;;
183;Don Muggele;f;F0;2017-04-11;foster parent;dead;Ria;n.a.;Flipp;99014;wild population;Ueberlingen;;2018-10-03;shot;unverified
184;Capitano;f;F0;2017-04-11;foster parent;alive;Gismo;n.a.;Triton;n.a.;wild population;Ueberlingen;;;;
185;Snorre;f;F0;2017-04-12;foster parent;dead;Pela;n.a.;Ollie;n.a.;wild population;Ueberlingen;2017-10-08;2017-12-08;unknown;unverified
186;Argenta;f;F0;2017-04-12;foster parent;dead;Ariel;n.a.;Giuseppe;n.a.;wild population;Ueberlingen;2017-10-08;2017-12-08;unknown;unverified
187;Il Barone;m;F0;2017-04-12;foster parent;dead;Gismo;n.a.;Triton;n.a.;wild population;Ueberlingen;2017-10-07;2017-12-07;unknown;unverified
188;Akela;m;F0;2017-04-12;foster parent;dead;Sequoia;n.a.;Simon;n.a.;wild population;Ueberlingen;;2019-01-31;injury/illness;unverified
189;Nuria;m;F0;2017-04-13;foster parent;dead;Meldos;n.a.;Baerli;n.a.;wild population;Ueberlingen;;2017-10-10;shot;unverified
190;Sele;m;F0;2017-04-13;foster parent;dead;Ria;n.a.;Flipp;99014;wild population;Ueberlingen;2017-10-10;2017-12-10;unknown;unverified
191;Yakari;f;F0;2017-04-13;foster parent;dead;Schreckse;n.a.;Shannara;n.a.;wild population;Ueberlingen;;2017-12-24;injury/illness;verified
192;Dino;m;F0;2017-04-14;foster parent;dead;Pela;n.a.;Ollie;n.a.;wild population;Ueberlingen;;2018-10-07;electrocution;verified
193;Arda;f;F0;2017-04-14;foster parent;dead;Gimli;n.a.;José;99067;wild population;Ueberlingen;2017-10-07;2017-12-07;unknown;unverified
194;Raia;m;F2;2017-05-04;parent;alive;Shorty;28;Lilu;1;wild population;Burghausen;;;;
195;Speranza;m;F2;2017-05-06;parent;dead;Shorty;28;Lilu;1;wild population;Burghausen;;2018-07-27;electrocution;verified
196;Cleo;f;F2;2017-05-08;parent;dead;Shorty;28;Lilu;1;wild population;Burghausen;2017-12-23;2018-02-23;unknown;unverified
197;Karl;f;F1;2017-05-11;parent;alive;Amore;13;Ayla;4;wild population;Burghausen;;;;
198;Simile;m;F1;2017-05-14;parent;dead;Amore;13;Ayla;4;wild population;Burghausen;;2017-08-28;electrocution;unverified
199;Brutus;f;F1;2017-05-11;parent;alive;Jack;2;Jazu;20;wild population;Burghausen;;;;
200;Luciano;m;F1;2017-05-14;parent;dead;Jack;2;Jazu;20;wild population;Burghausen;;2017-09-18;electrocution;unverified
201;Lula;m;F1;2017-05-16;parent;dead;Jack;2;Jazu;20;wild population;Burghausen;;2017-09-25;electrocution;verified
202;Smudo;f;F1;2017-05-17;parent;alive;Jack;2;Jazu;20;wild population;Burghausen;;;;
203;Attila;m;F1;2017-05-28;parent;alive;Salem;17;Semir;24;wild population;allocation;;;;
204;Samson;f;F1;2017-05-30;parent;dead;Salem;17;Semir;24;wild population;Burghausen;;2019-06-20;electrocution;verified
